medcodeid	term	weight	bmi	height	bmicat
"100716012"	"body mass index"		9		
"11905011000006114"	"o/e - weight"	9			
"11905141000006112"	"o/e - height"			9	
"11923361000006119"	"finding of body mass index"		9		
"11929721000006110"	"expectation of weight management programme"	9			
"12113161000006113"	"obese class i"				3
"12113181000006115"	"obese class ii"				3
"13638231000006115"	"self reported body weight"	9			
"13926671000006119"	"obese class iii"				3
"14166701000006113"	"weight loss process"	9			
"14176391000006111"	"referral to weight management service"	9			
"14176401000006113"	"weight management service not available"	9			
"1662431000000112"	"advice given about weight management"	9			
"1709681000000111"	"referral to weight management service offered"	9			
"1715211000000118"	"unintentional weight loss"	9			
"1721501000000113"	"referral to local authority weight management programme"	9			
"1735631000000119"	"discussion about weight management programme"	9			
"1737991000000117"	"pattern of weight gain"	9			
"1738991000000118"	"expectation of weight management programme"	9			
"1749511000006118"	"pattern of weight gain"	9			
"1750501000006114"	"checking weight monitoring"	9			
"1750991000000117"	"weight management service opportunity signposted"	9			
"1753271000006112"	"risk to health associated with overweight and obesity, at no increased risk"	9			2
"1753281000006110"	"risk to health associated with overweight and obesity, at increased risk"	9			2
"1753291000006113"	"risk to health associated with overweight and obesity, at high risk"	9			2
"1753301000006114"	"risk to health associated with overweight and obesity, at very high risk"	9			2
"1753311000006112"	"intervention for risk to health associated with overweight and obesity, general advice on healthy weight and lifestyle"	9			2
"1770141000006119"	"did not attend weight management special interest general practitioner clinic"	9			
"1773481000006111"	"mosaic trial - weight advice"	9			
"1773731000006116"	"weight advice - verbal [mosaic trial]"	9			
"1773741000006114"	"weight advice - verbal & written [mosaic trial]"	9			
"1773751000006111"	"weight advice - not this time [mosaic trial]"	9			
"1773761000006113"	"weight advice - not appropriate [mosaic trial]"	9			
"1778201000006111"	"group session: weight management"	9			
"1780175010"	"baseline weight"	9			
"1780210016"	"weight loss from baseline weight"	9			
"1808061000006114"	"body mass index less than 18.5"		9		0
"1808071000006119"	"body mass index 18.5-24.9"		9		1
"1809441000006111"	"weight change"	9			
"1844501000006115"	"referral to weight management special interest general practitioner"	9			
"1900331000006113"	"obese class iii (body mass index equal to or greater than 40.0)"		9		3
"1910901000006116"	"estimated weight"	9			
"1910911000006118"	"reported weight"	9			
"1910921000006114"	"estimated height"			9	
"1910931000006112"	"reported height"			9	
"1979501000006111"	"weight management follow-up"	9			
"1979511000006114"	"weight management 6 month follow-up"	9			
"1979521000006118"	"weight management 12 month follow-up"	9			
"1979531000006115"	"lost to weight management follow-up"	9			
"1979961000006118"	"weight management 3 month follow-up"	9			
"2000621000006111"	"date for weight management intervention offered to patient"	9			
"2154209017"	"refer to weight management programme"	9			
"2159952010"	"underweight"	9			
"2160062010"	"body mass index 40+ - severely obese"		9		3
"2173321000000116"	"referral to residential weight management programme"	9			
"217781000000116"	"o/e - weight greater than 20% over ideal"	9			
"2196071000000116"	"baseline body mass index"		9		
"2265731000000113"	"seen in weight management clinic"	9			
"2316211000000111"	"unintentional weight gain"	9			
"2326311000000114"	"intensive weight management programme commenced"	9			
"2326451000000118"	"intensive weight management programme ended"	9			
"2350241000000116"	"obese class i (body mass index 30.0 - 34.9)"		9		3
"2350261000000115"	"obese class ii (body mass index 35.0 - 39.9)"		9		3
"240911000006113"	"patient advised to lose weight"	9			
"2474325012"	"body mass index 20-24 - normal"		9		1
"252191014"	"weight increasing"	9			
"252192019"	"weight decreasing"	9			
"252194018"	"abnormal weight gain"	9			
"252198015"	"weight symptom nos"	9			
"253576010"	"o/e - obese"	9			
"2536041016"	"weight static"	9			
"253669010"	"standing height"			9	
"253672015"	"o/e -height within 10% average"			9	
"253673013"	"o/e-height 10-20% over average"			9	
"253675018"	"o/e - loss of height"			9	
"253676017"	"o/e - height nos"			9	
"253677014"	"body weight"	9			
"253679012"	"o/e -weight 10-20% below ideal"	9			
"253680010"	"o/e - weight within 10% ideal"	9			
"253687013"	"o/e - underweight"	9			
"253688015"	"o/e - weight nos"	9			
"253844013"	"normal body mass index"		9		
"253845014"	"increased body mass index"		9		
"253846010"	"decreased body mass index"		9		
"253847018"	"body mass index index 25-29 - overweight"	9	9		2
"253848011"	"body mass index 30+ - obesity"		9		3
"253866018"	"height and weight"	9		9	
"2549043017"	"intentional weight loss"	9			
"2642891000006110"	"weight gain"	9			
"264766018"	"wants to lose weight"	9			
"264767010"	"difficulty maintaining weight loss"	9			
"271181000006113"	"o/e-height > 20% below average"			9	
"2714971000000116"	"signposting to weight management service"	9			
"272151000006114"	"o/e -height > 20% over average"			9	
"272551000006116"	"o/e - weight > 20% below ideal"	9			
"2729021000006118"	"measuring height of patient"			9	
"280881000006115"	"o/e - obese"	9			
"284561000006119"	"o/e - height 10-20% < average"			9	
"2865221000006115"	"impaired glucose tolerance in obese"				3
"2934311000006118"	"weight"	9			
"297811000000117"	"weight management programme offered"	9			
"297841000000116"	"weight management plan started"	9			
"297861000000115"	"weight management plan completed"	9			
"297891000000114"	"target weight reached"	9			
"299281000000119"	"complaining of weight loss"	9			
"3020131000006118"	"impaired glucose tolerance in nonobese"				
"3044831000006118"	"weight maintenance regimen"	9			
"3070611000006119"	"normal bmi (body mass index)"		9		1
"3087271000006119"	"poor weight gain"	9			
"3087281000006116"	"not putting on weight"	9			
