"2853511000006117"    "burkitt cell leukaemia"                                                                                                                                                                                                                     
"311021000006113"     "leukaemia morphology"                                                                                                                                                                                                                       
"94699019"            "lymphoma stage iii"                                                                                                                                                                                                                         
"745001000006114"     "leukaemic reticuloendotheliosis"                                                                                                                                                                                                            
"344806015"           "true histiocytic lymphoma"                                                                                                                                                                                                                  
"4420081000006111"    "mast cell leukaemia"                                                                                                                                                                                                                        
"304431000006115"     "[m]acute panmyelosis"                                                                                                                                                                                                                       
"289919015"           "monoblastic leukaemia"                                                                                                                                                                                                                      
"291964019"           "[m]angioendotheliomatosis"                                                                                                                                                                                                                  
"202801000006110"     "prolymphocytic leukaemia"                                                                                                                                                                                                                   
"314061000006117"     "[m]non-hodgkin's lymphoma"                                                                                                                                                                                                                  
"289830018"           "malignant lymphoma nos of unspecified site"                                                                                                                                                                                                 
"4009791000006119"    "cml - chronic myeloid leukaemia"                                                                                                                                                                                                            
"289884015"           "aleukaemic lymphoid leukaemia"                                                                                                                                                                                                              
"880831000006112"     "lymphoid leukaemia - chronic"                                                                                                                                                                                                               
"289754019"           "malignant histiocytosis nos"                                                                                                                                                                                                                
"3377341000006113"    "hairy cell leukemia"                                                                                                                                                                                                                        
"1230828016"          "[m]malignant lymphoma, mixed small and large cell, diffuse"                                                                                                                                                                                 
"308801000006118"     "[m]follicular lymphosarcoma nos"                                                                                                                                                                                                            
"289701017"           "hodgkin's disease, lymphocytic depletion nos"                                                                                                                                                                                               
"3550221000006113"    "malignant lymphoma, small lymphocytic"                                                                                                                                                                                                      
"289703019"           "hodgkin's disease nos, unspecified site"                                                                                                                                                                                                    
"311801000006113"     "[m]malignant lymphoma, large cell, noncleaved, diffuse"                                                                                                                                                                                     
"4310071000006113"    "mycosis fungoides (clinical)"                                                                                                                                                                                                               
"2806901000006114"    "malignant lymphoma, lymphoplasmacytic"                                                                                                                                                                                                      
"880941000006112"     "leukaemia - unspec. cell acute"                                                                                                                                                                                                             
"1815371000006111"    "enteropathy-type (intestinal) t-cell lymphoma"                                                                                                                                                                                              
"4020921000006116"    "erythroleukemia"                                                                                                                                                                                                                            
"289632011"           "hodgkin's granuloma of intra-abdominal lymph nodes"                                                                                                                                                                                         
"289847017"           "malignant lymphoma of lymph nodes of multiple sites"                                                                                                                                                                                        
"845051000006111"     "staging classification for lymphoma"                                                                                                                                                                                                        
"289657018"           "hodgkin's disease, lymphocytic-histiocytic predominance of spleen"                                                                                                                                                                          
"414160018"           "b-cell acute lymphoblastic leukaemia"                                                                                                                                                                                                       
"1221109014"          "[m]hodgkin's disease"                                                                                                                                                                                                                       
"4757421000006113"    "reticulosarcoma morphology"                                                                                                                                                                                                                 
"7299901000006110"    "primary mediastinal (thymic) large b-cell lymphoma"                                                                                                                                                                                         
"291997018"           "[m]mixed leukaemia"                                                                                                                                                                                                                         
"157693017"           "nodular lymphoma of spleen"                                                                                                                                                                                                                 
"2871720012"          "juvenile myelomonocytic leukaemia"                                                                                                                                                                                                          
"826621000006119"     "hodgkin's disease, nodular sclerosis of lymph nodes of inguinal region and lower limb"                                                                                                                                                      
"304421000006118"     "acute panmyelosis with myelofibrosis"                                                                                                                                                                                                       
"727811000006111"     "malignant neoplasm lymphatic or haematopoietic tissue os"                                                                                                                                                                                   
"1815151000006116"    "follicular lymphoma"                                                                                                                                                                                                                        
"291992012"           "[m]aleukaemic leukaemia nos"                                                                                                                                                                                                                
"289928019"           "aleukaemic monocytic leukaemia"                                                                                                                                                                                                             
"2884031000006114"    "acute leukemia"                                                                                                                                                                                                                             
"1216809013"          "[m]chronic myeloid leukaemia"                                                                                                                                                                                                               
"291985019"           "[m]leukaemia nos"                                                                                                                                                                                                                           
"289972016"           "leukaemia"                                                                                                                                                                                                                                  
"289831019"           "malignant lymphoma of lymph nodes of head, face and/or neck"                                                                                                                                                                                
"289624015"           "hodgkin's paragranuloma of intrapelvic lymph nodes"                                                                                                                                                                                         
"291960011"           "[m] alpha heavy chain disease"                                                                                                                                                                                                              
"853831000006113"     "non hodgkin lymphoma"                                                                                                                                                                                                                       
"315941000006119"     "[m]reticulolymphosarcoma, nodular"                                                                                                                                                                                                          
"1815321000006110"    "anaplastic large cell lymphoma, alk negative"                                                                                                                                                                                               
"1233711012"          "[m]hodgkin's granuloma"                                                                                                                                                                                                                     
"621041000006116"     "diffuse non-hodgkin's mixed small and large cell (diffuse) lymphoma"                                                                                                                                                                        
"4416161000006111"    "histiocytic sarcoma"                                                                                                                                                                                                                        
"4173581000006111"    "apml - acute promyelocytic leukaemia"                                                                                                                                                                                                       
"291905016"           "[m]malignant lymphoma, centrocytic"                                                                                                                                                                                                         
"289603013"           "burkitt's lymphoma of lymph nodes of head, face and neck"                                                                                                                                                                                   
"1231541019"          "[m]plasma cell myeloma"                                                                                                                                                                                                                     
"3109051000006115"    "myelomonocytic leukaemia"                                                                                                                                                                                                                   
"315441000006114"     "[m]plasma cell tumour, malignant"                                                                                                                                                                                                           
"12702811000006117"   "hairy cell leukaemia"                                                                                                                                                                                                                       
"289613017"           "other specified reticulosarcoma or lymphosarcoma"                                                                                                                                                                                           
"2663461018"          "hodgkin's disease, mixed cellularity"                                                                                                                                                                                                       
"315951000006117"     "[m]reticulosarcoma nos"                                                                                                                                                                                                                     
"306931000006115"     "chronic lymphoid leukaemia"                                                                                                                                                                                                                 
"555131000006118"     "chronic lymphoid leukaemia, disease"                                                                                                                                                                                                        
"289786012"           "mast cell malignancy of intra-abdominal lymph nodes"                                                                                                                                                                                        
